Model,RMSE,MAE,R2
Linear Regression,0.7116508138953741,0.5613598327806857,0.5780373790031899
Random Forest,0.3386806430860837,0.23324049843542277,0.9044301659317309
XGBoost,0.33725804260179504,0.15513912740269226,0.905231346367558
